"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2021","20.33","19.80","20.33","19.80","852.65K","3.39%"
"01/08/2021","19.67","19.17","20.13","19.17","671.74K","3.51%"
"01/07/2021","19.00","19.47","19.47","19.00","123.73K","-1.72%"
"01/06/2021","19.33","19.57","19.60","18.83","932.52K","0.00%"
"01/05/2021","19.33","18.90","19.67","18.87","918.72K","2.65%"
"01/04/2021","18.83","18.77","18.83","18.33","562.18K","2.73%"
"12/31/2020","18.33","18.27","18.93","17.93","97.46K","0.00%"
"12/30/2020","18.33","18.00","18.33","18.00","173.56K","1.85%"
"12/28/2020","18.00","18.33","18.33","18.00","76.12K","-1.82%"
"12/24/2020","18.33","18.33","18.60","18.33","129.17K","-1.26%"
"12/23/2020","18.57","18.00","18.63","17.97","374.48K","3.34%"
"12/22/2020","17.97","17.93","18.13","17.90","6.60K","-0.92%"
"12/21/2020","18.13","18.00","18.13","17.60","25.56K","0.74%"
"12/18/2020","18.00","18.20","18.20","17.93","182.40K","-1.10%"
"12/17/2020","18.20","18.50","18.50","18.20","123.52K","-2.50%"
"12/16/2020","18.67","18.70","18.70","18.03","131.23K","-1.06%"
"12/15/2020","18.87","18.67","19.30","18.63","65.87K","1.07%"
"12/14/2020","18.67","19.00","19.00","18.50","330.02K","-1.75%"
"12/11/2020","19.00","19.33","19.33","18.40","328.40K","-1.04%"
"12/10/2020","19.20","18.83","19.47","18.53","1.32M","2.13%"
"12/09/2020","18.80","18.17","19.00","17.67","1.01M","4.44%"
"12/08/2020","18.00","16.97","18.00","16.70","471.94K","7.78%"
"12/07/2020","16.70","16.67","17.30","16.67","168.38K","-0.20%"
"12/04/2020","16.73","16.67","17.00","16.50","43.08K","1.41%"
"12/03/2020","16.50","16.87","17.00","16.40","76.93K","-3.13%"
"12/02/2020","17.03","17.00","17.50","16.90","335.75K","0.39%"
"12/01/2020","16.97","16.83","16.97","16.50","181.71K","1.80%"
"11/30/2020","16.67","16.83","16.83","16.43","201.03K","-0.99%"
